lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
ääretult;ADV;O;3;no;14954;8801;932062935
oluline;ADJ;O;5;no;606448;8801;932062935
tõestatav;ADJ;O;1;no;571;8801;932062935
targalt;ADV;O;1;no;6715;8801;932062935
eeskuju;NOUN;O;4;no;57916;8801;932062935
näitama;VERB;O;10;no;578982;8801;932062935
Lääne-Euroopa;PROPN;O;2;no;8321;8801;932062935
kriitika;NOUN;O;1;no;36834;8801;932062935
viimane;ADJ;O;5;no;960645;8801;932062935
enam-vähem;ADV;O;2;no;34786;8801;932062935
suutma;VERB;O;16;no;607518;8801;932062935
punkt;NOUN;O;2;no;451586;8801;932062935
tublidus;NOUN;O;1;no;1206;8801;932062935
võime;NOUN;O;2;yes;70435;8801;932062935
võlavangla;NOUN;O;1;no;125;8801;932062935
sattumine;NOUN;O;1;no;13841;8801;932062935
tsivilisatsioon;NOUN;O;1;no;12734;8801;932062935
Lehman;PROPN;O;1;no;648;8801;932062935
Brothers;PROPN;O;1;no;1740;8801;932062935
päästma;VERB;O;2;no;74373;8801;932062935
operatsioon;NOUN;O;1;no;47361;8801;932062935
algama;VERB;O;2;no;404474;8801;932062935
jama;NOUN;O;6;no;88716;8801;932062935
pihta;ADV;O;1;yes;52648;8801;932062935
rihm;NOUN;O;1;no;26158;8801;932062935
maksma;VERB;O;7;no;520682;8801;932062935
pangandussektor;NOUN;O;1;no;1537;8801;932062935
ideaal;NOUN;O;2;no;20953;8801;932062935
separatistlik;ADJ;O;1;no;815;8801;932062935
käik;NOUN;O;2;no;83196;8801;932062935
lahti;ADV;O;3;no;263519;8801;932062935
ühisraha;NOUN;O;5;no;1065;8801;932062935
õitsev;ADJ;O;1;no;6677;8801;932062935
järele;ADP;O;1;yes;148005;8801;932062935
tasku;NOUN;O;1;no;50437;8801;932062935
küllaga;ADV;O;1;no;11115;8801;932062935
täis;ADV;O;1;no;305641;8801;932062935
kaasa;ADV;O;8;no;515534;8801;932062935
üha;ADV;O;1;no;109560;8801;932062935
föderaliseerumine;NOUN;O;2;no;253;8801;932062935
föderalism;NOUN;O;1;no;203;8801;932062935
vastand;ADJ;O;1;no;7550;8801;932062935
tähendama;VERB;O;10;no;444609;8801;932062935
põhiseaduslik;ADJ;O;1;no;6696;8801;932062935
takistus;NOUN;O;2;no;49923;8801;932062935
tõttu;ADP;O;3;yes;362733;8801;932062935
komisjon;NOUN;O;1;no;276161;8801;932062935
kevad;NOUN;O;2;no;161236;8801;932062935
Kreeka;PROPN;O;13;no;49250;8801;932062935
õigus;NOUN;O;2;no;382673;8801;932062935
liikmesriik;NOUN;O;1;no;265212;8801;932062935
kinnitama;VERB;O;1;no;274341;8801;932062935
sarderaal;NOUN;O;1;no;0;8801;932062935
põhimõte;NOUN;O;1;no;129840;8801;932062935
rahvusvaheline;ADJ;O;5;no;268321;8801;932062935
organisatsioon;NOUN;O;2;no;141110;8801;932062935
eksponeerima;VERB;O;1;no;13122;8801;932062935
justkui;SCONJ;O;3;yes;117450;8801;932062935
edasi;ADV;O;8;yes;598918;8801;932062935
enam;ADV;O;11;yes;916792;8801;932062935
poolföderatsioon;NOUN;O;1;no;0;8801;932062935
ratsioon;NOUN;O;1;no;592;8801;932062935
tendents;NOUN;O;1;no;8567;8801;932062935
juht;NOUN;O;3;no;823361;8801;932062935
vastu;ADV;O;4;yes;1054024;8801;932062935
