lemma;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
õnnetus;1;no;75374;5042;932020281;2.434713864422006
taastama;1;no;75642;5042;932020281;2.426192654313529
pind;2;no;152328;5042;932020281;2.4183386513552705
kõva;1;no;76134;5042;932020281;2.41070350901227
ehitamine;1;no;76293;5042;932020281;2.405740067675016
ümbrus;1;no;76298;5042;932020281;2.405584316060623
põrand;1;no;76564;5042;932020281;2.3973273058844637
kaasaegne;1;no;76622;5042;932020281;2.395534426763078
mart;1;no;77210;5042;932020281;2.377508603552065
sein;2;no;155936;5042;932020281;2.362716314575218
positsioon;1;no;77722;5042;932020281;2.362032161271432
toimima;2;no;156094;5042;932020281;2.3603389431240736
suhe;3;no;235121;5042;932020281;2.353225285267674
kirjeldama;2;no;156794;5042;932020281;2.3498635804842043
avalik;3;no;235663;5042;932020281;2.347834435945908
lähim;1;no;78420;5042;932020281;2.3412551420760903
hõlmama;1;no;78625;5042;932020281;2.3352222702763377
asi;18;no;1426594;5042;932020281;2.3314850077998344
lõpetama;4;no;317669;5042;932020281;2.323712713073256
avama;3;no;239192;5042;932020281;2.313329317654297
seltskond;1;no;79785;5042;932020281;2.3016623367692506
tõsi;1;no;80676;5042;932020281;2.2765326848673912
kuum;1;no;81136;5042;932020281;2.2637724765492986
spetsialist;1;no;82621;5042;932020281;2.2235381185767222
üllatus;1;no;83438;5042;932020281;2.20200641055026
tore;3;no;251855;5042;932020281;2.1974464328570744
kaup;2;no;169075;5042;932020281;2.18011368083755
õu;1;no;84345;5042;932020281;2.1785860353098028
kuulutama;1;no;85376;5042;932020281;2.152561545406182
mask;1;no;86637;5042;932020281;2.12156450901081
amet;2;no;174268;5042;932020281;2.115494222880688
pesema;1;no;87932;5042;932020281;2.090647316310308
